predictor;coeficiente
P6065;1.031969276
P60507;0.924530092
P6063;0.867006078
FARC;0.627677774
(Intercept);0.571700564
P5172;0.451371466
P60506;0.441798679
P6062;0.424197589
P5334S32;0.413631061
P6066;0.393243232
P5368S64;0.390004991
P53232;0.33659098
P621099;0.302730113
P6064;0.284947163
P60509;0.258296397
P60505;0.250195994
P5368S24;0.223427942
P60504;0.211951088
P62104;0.206454137
P5322S33;-0.200075116
P5368S23;-0.275083274
P5322S34;-0.399371639
P5322S35;-0.399905018
P5368S62;-0.403621496
P60508;-0.486752898
P62106;-0.493843823
P6936S72;-0.532252785
P4031S1A16;-0.598130365
P62102;-0.662184693
P4031S1A19;-0.818674875
P62107;-0.886988031
ELN;-1.163358366
